Cote;Type;DataType;Dates;Titre;Sous-titre;Auteur;Destinataire;Sujet;Description;Notes;Résumé;Éditeur;Localisation;Droits;Ayants-droit;Format;Langue;État génétique;Relations génétiques;Autres ressources en relation;Nature du document;Support;État général;Publication;Représentation;Contexte géographique;Lieu d'expédition;Type de publication;Titre de la publication;Lieu de publication;Numéro de la publication;Périodicité;Directeur de la publication;Auteur analyse;Date analyse;Auteur description;Date création notice;Auteur révision;Date révision notice;Auteur transcription
 MX-F-10;Photos;Picture;1910-1935;La Reina Joves;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu playing the role of La Reyna Joves;The original file is called:06.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université); Undetermined;;;402 × 616 37,9 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipON4xJHIkF4K5PHb0-JHxBtFiRhNZW3VNFz1UMz?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMvHWqnn9DNSdYlxJqRw2iInjL89Zm9x8vdToMg?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3   (Last consultation: 2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-11;Photos;Picture;1906-1935;La Reina Joves;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu playing the role of La Reyna Joves;The original file is called:07.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;402 × 64039,2 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMvHWqnn9DNSdYlxJqRw2iInjL89Zm9x8vdToMg?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3;;Spain;;;;;;;;;;;;;;
 MX-F-12;Photos;Picture;1932;Margarita Xirgu de Elektra;;undetermined;; Photo of Margarita acting;Photo of Margarita Xirgu acting’’ Elektra’’;The original file is called:08.jpg;;Responsible for the file:  Undetermined  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Uruguay;;;640 × 442 52,6 ko;;;;;File JPG;Digital;Badly damaged;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNAJjQs8byopdZufo5RT8H_Z6CrL9v7w6b3hVyq?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-13;Photos;Picture;1909;"Margarita Xirgu ""El Rei"" de Gaston Caillavet";;undetermined;; Photo of Margarita acting;" Margarita Xirgu and Jaume Borràs representing ""El Rei"" of Gaston Caillavet, Robert de Flers and Emmanuel Aréne";The original file is called:2.jpg;;Responsible for the file:  Undetermined  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;640 × 400 38,7 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOQ633e_Y-6_XWNck_TNndvsOCJcIVMjIM3d9Yi?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-14;Photos;Picture;1994;Hermanamiento de Margarita Xirgu y Garcia Lorca;;undetermined;;Picture of Garcia Lorca and Maragarita Xirgu's twinning;;The original file is called:Lorcxirg.jpg;;Responsible for the file:  Undetermined  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;431 × 600 58,3 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOd3Fy-48RO0u591RYCTzbleVT8WGvqA_p6ZBVl?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Undetermined;;;;;;;;;;;;;;
 MX-F-15;Photos;Picture;1906-1940;Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;Picture of Margarita acting;The original file is called:_01.jpg;;Responsible for the file:  Undetermined  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;402 × 623 41,2 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipO9lJqd68z1LlGikqMEx0d-fVVrHk_x_DD9qfh8?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Undetermined;;;;;;;;;;;;;;
 MX-F-16;Photos;Picture;1930;Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu performing for the ‘’ zapatera prodigiosa’’;The original file is called:: imagen1.jpg;;Responsible for the file:  Undetermined  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;421 × 544 48,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNRVsL1l6IKGuQh1Mse-XFKU6c20e-7DLGdz9CD?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Madrid Spain;;;;;;;;;;;;;;
 MX-F-17;Photos;Picture;1911;Margarita Xirgu la Reina Jove;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu playing:'' La Reyna Joves;The original file is called:margar1.jpg;;Responsible for the file:  Undetermined  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;380 × 600 42 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipPlNKC4kqjjhkPZWF2qPWTOYlFb2yivz6nx8GsZ?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Undetermined;;;;;;;;;;;;;;
 MX-F-18;Photos;Picture;1910-1935;Margarita Xirgu la Reina Jove;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu playing:'' La Reyna Joves;The original file is called: margar2a.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;386 × 600 42,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMIlEFYA0a1y0bjCV2a4ulmXbAQ8VqSpHKbbPqY?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-19;Photos;Picture;1910-1935;Margarita Xirgu la Reina Jove;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu playing:'' La Reyna Joves;The original file is called: margaridaa.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fonfo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;396 × 600 45,3 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNOwAX0j-LNZu9E12_HCMXpV06fiPqXPZ16X4du?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-20;Photos;Picture;1906-1920;;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita xirgu as a young woman, dressed with a tunic;The original file is called: se llama margxirgu.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;391 × 628 40,5 ko;;;;;File JPG;Digital;Good; (Last consultation: http 2020-04-20) https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMrtIRCK7dOVvxjnI1VA7R-s4yvp8rxO7LLlebM?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3;;Undetermined;;;;;;;;;;;;;;
 MX-F-21;Photos;Picture;1930-1950;Family of  Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu with her family at home;The original file is called:10.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;600 × 464 61,2 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNop15l19MBDibv7Q36ufKPEgZ-wx4dd6kHuU4L?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Undetermined;;;;;;;;;;;;;;
 MX-F-22;Photos;Picture;1916-1919;Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;Margarita Xirgu acting in an unidentified performance.;The original file is called: margxirgu11.jpg;;Responsible for the file: Familia de Maragrita Xirgu (fondo de los hermanos Xiru)  | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;600 × 443 57,3 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOdfgiTeEi31IIfXxNDHnMBuTDhl9OkDVSpajbz?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-23;Photos;Picture;1906-1925;Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu performing;The original file is called: margxirgu12.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;600 × 422 41,8 ko;;;;;File JPG;Digital;Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNr3OHF24r2JYVAYLqf7TAMS-kzXd9Co0H6AHyX?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-24;Photos;Picture;1900-1940; Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;Photo of Margarita Xirgu performing;The original file is called: margxirgu13.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;413 × 600 32,9 ko;;;;;File JPG;Digital;Very poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipP7sGhith5LfF9NOewHyPJ1o7Jv6WHbJqem8-4G?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Undetermined;;;;;;;;;;;;;;
 MX-F-25;Photos;Picture;1969;The grave of Margarita Xirgu;;undetermined;;Picture of Margarita Xirgu;The tomb of Margarita Xirgu;The original file is called:margxirgu14.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;600 × 411 33,9 ko;;;;;File JPG;Digital; Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipNnnSky2WrOzfdII5Nvgd9oXsgf2-F0kAvCTSMF?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation: 2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-26;Photos;Picture;1908;Margarita Xirgu  y Jaume Borràs;;undetermined;;" Margarita Xirgu and Jaume Borràs acting for ""The King"" by Gaston Caillavet, Robert de Flers and Emmanuel Arene. First performed at the Romea Theatre in 1908.";;The original file is called: margxirgu15.jpg;;Responsible for the file:  Fondo Margarita Xirgu del Instituto del theatrede la Diputación de Barcelona.Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université); Theatre of the Diputación of Barcelona.;;;600 × 377 43,1 ko;;;;;File JPG;Digital; Poor;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipN3ZYmQb0N0hlMjGmNoBAfz10zaNTbsuOSf40Ro?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-27;Photos;Picture;1906-1940;Margarita Xirgu;;undetermined;;Margarita Xirgu;Photo of Margarita Xirgu;The original file is called: margxirgu16.jpg;;Responsible for the file: Undetermined| Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Barcelona;;;391 × 619 38 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipPD4LWDssn0MMhvVaQKokF9wVwwwY6i9ydirlir?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Undetermined;;;;;;;;;;;;;;
 MX-F-28;Photos;Picture;1909;Margarita Xirgu and the llunyana  princesa;;undetermined;;Margarita Xirgu and ''Princess llunyana''.;"Photo of Maragarita Xirgu acting on October 9, 1909. She launched Edmond Eugène Rostand's ""Princess llunyana"" in the role of Melisanda.";The original file is called:margxirgu17.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;421 × 600 57,2 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOdRZVwnSwz6JEUu_fSL4Vy3COtviT6K5mbHwz1?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3 (Last consultation:  2020-04-20);;Spain;;;;;;;;;;;;;;
 MX-F-29;Photos;Picture;1910-1920;Margarita Xirgu  Elektra;;undetermined;;Margarita Xirgu de Elektra;Photo de Margarita Xirgu   interpretando para Elektra;The original file is called: margxirgu2.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;370 × 640 33,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipMgcts8ZV2VcitBZCLIQb6Jf_EVEg5m-QKA7yLt?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation:  2020-04-21);;Spain;;;;;;;;;;;;;;
 MX-F-30;Photos;Picture;19106-1925;Margarita Xirgu;;undetermined;;Margaret Xirgu Queen Joves;Photo of Margarita Xirgu acting'' Queen Joves’’;The original file is called:margxirgu21.jpg;;Responsible for the file: Xirgu family(Xavier Rius Xirgu, Ester Xirgu Cortacans, Natalia Valenzuela) | Publisher: Project e-spectateur, AAP 2020 (Scientific responsible :Student: Alan Gil Master LEA Amérique, La Rochelle Université);Undetermined;;;421 × 654 56,8 ko;;;;;File JPG;Digital;Good;https://photos.google.com/share/AF1QipNW8bRri9xHS0AiKHoQRKY47_HlMYYmElD_5CKW-SOyCQT4shJ8VcnX21kznj-_YA/photo/AF1QipOfO-jfyqAZHDLCw6IGtkhobBg1bB1NfHsbeABU?key=UW1halZNaTlKdVVpdm5UbHd5cEk3QVdGenBnTlp3  (Last consultation: 2020-04-21);;Undetermined;;;;;;;;;;;;;;
